	dataset_name	publication_string	dataset_id	dataset_version_id	collection_url	alignment_software	cell_enrichment	gene_annotation_version	institute	library_id	library_preparation_batch	library_sequencing_run	manner_of_death	reference_genome	sampled_site_condition	sample_collection_method	sample_id	sample_preservation_method	sample_source	sequenced_fragment
20	Retinal ganglion cells of the human fovea and peripheral retina	Yan (2020) Sci Rep	d319af7f-be2e-441e-8caa-3b8a88480e89	0b8711c0-5484-4f71-9050-cb5b5421c4c9	https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
21	Non-neuronal cells of the human fovea and peripheral retina	Yan (2020) Sci Rep	bc7260e0-54cf-4b0b-823d-93f5b850f757	c3b19259-db0b-4c2b-92ae-4f2a0d2a2154	https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
22	Bipolar cells of the human fovea and peripheral retina	Yan (2020) Sci Rep	8623d55f-d91c-41c2-ae68-ed2072fd268d	82e26751-5d13-44c4-b436-6166d7ac1864	https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
23	Photoreceptor cells of the human fovea and peripheral retina	Yan (2020) Sci Rep	7b75b2c4-6d99-40be-9a61-391455d859e6	f2978c16-5238-41dc-8a42-a63614be1b4d	https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
24	Amacrine cells of the human fovea and peripheral retina	Yan (2020) Sci Rep	5cdbb2ea-c622-466d-9ead-7884ad8cb99f	c76ed67f-ddd1-45b0-bdb2-fa57fac3460f	https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
25	Horizontal cells of the human fovea and peripheral retina	Yan (2020) Sci Rep	2f6a20f1-173d-4b8d-860b-c47ffea120fa	da16cf9b-3959-4aa7-8df4-570fc944f683	https://cellxgene.cziscience.com/collections/1d1c7275-476a-49e2-9022-ad1b1c793594	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
26	Periphery - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution	Cowan (2020) Cell	ccfdcad0-7104-46b9-addf-fd66a2a15907	bb60ee3a-78aa-4199-9619-b80fb4463ef7	https://cellxgene.cziscience.com/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
27	Fovea - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution	Cowan (2020) Cell	babbf9f3-f482-45a5-ba76-c41f4c2f503e	3edbb391-6aa3-4d51-a9ea-ec89e28bedc7	https://cellxgene.cziscience.com/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
28	Organoid - Cell Types of the Human Retina and Its Organoids at Single-Cell Resolution	Cowan (2020) Cell	7e7f63c5-d964-40be-83de-ecbcccafd233	731ad926-5b60-45bf-85de-e32d037c1944	https://cellxgene.cziscience.com/collections/2f4c738f-e2f3-4553-9db2-0582a38ea4dc	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
29	visium spatial - sample v06	Kumar (2023) Nature	fb09f8c3-cb71-480d-8919-d8afd2670b97	63571a3a-50df-4ec5-b327-812c787d8fe5	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
30	visium spatial - sample v04	Kumar (2023) Nature	c45f05b3-aafc-4fce-a800-133a2364df64	bc4529f8-6fbf-49bf-85e7-e22bbd9e1722	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
31	scRNA-seq data - myeloid cells	Kumar (2023) Nature	a6388a6f-6076-401b-9b30-7d4306a20035	f3a37be2-eaaf-4182-8cb0-eb3502be858c	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	100.0%	Not present
32	visium spatial - sample v03	Kumar (2023) Nature	a31525c0-a7ee-409e-a0ee-9bf4f507c7f1	98c9bf2b-4597-40f8-87bd-fa0a0d148dee	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
33	visium spatial - sample v10	Kumar (2023) Nature	87183784-5b2e-4de0-a960-cffdeb005a7d	b29fa833-d4c7-4ec6-abf3-9d9a98c6cae1	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
34	scRNA-seq data - all cells	Kumar (2023) Nature	842c6f5d-4a94-4eef-8510-8c792d1124bc	4022b5f2-0c68-4c9e-b13a-72e8f3dd731a	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	100.0%	Not present
35	scRNA-seq data - T cells	Kumar (2023) Nature	74520626-b0ba-4ee9-86b5-714649554def	a87890d9-bf31-4043-a3b7-1b46df89d8ff	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	100.0%	Not present
36	visium spatial - sample v08	Kumar (2023) Nature	6e96d93c-de27-4cb2-9ac1-051111ce2aff	cbbafd53-4f9c-45b6-b309-56fab76a8f46	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
37	visium UMAP - all samples	Kumar (2023) Nature	66025d4a-04e7-457b-b0a3-15832a669616	d5e9840e-5a99-4fed-b5cd-44f136825859	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
38	visium spatial - sample v01	Kumar (2023) Nature	59f3a9d6-8bab-481d-8c42-766991595687	beb82776-83a0-4f5b-ba19-9a76bb0fc7ec	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
39	visium spatial - sample v02	Kumar (2023) Nature	49108ba9-1b7a-4a8a-9859-3d32e6a83926	1750a88d-9128-4dec-8671-763c9e8a783a	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
40	scRNA-seq data - B cells	Kumar (2023) Nature	396a9124-fb20-4822-bf9c-e93fdf7c999a	95a29104-45b1-4b32-b29e-495e7180924e	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	100.0%	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	100.0%	Not present
41	visium spatial - sample v09	Kumar (2023) Nature	31b49393-4485-4998-9ef4-33e03c4c1789	8978a080-a9f1-4586-91a3-add65e603c0e	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
42	visium spatial - sample v05	Kumar (2023) Nature	2d3e3c41-3425-4450-9914-95ed7edf7752	93a62d5d-396d-4a77-ad47-1dcd924ca722	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
43	visium spatial - sample v07	Kumar (2023) Nature	170e9c52-5e8a-4ccf-99b6-d45b25b14614	960b4f66-a1ca-4a86-953e-6435c1579618	https://cellxgene.cziscience.com/collections/4195ab4c-20bd-4cd3-8b3d-65601277e731	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	100.0%	Not present
44	Healthy human liver: integrated	Andrews (2022) Hepatology Communications	ddb22b3d-a75c-4dd1-9730-dff7fc8ca530	39135c64-e815-4973-b7af-c06758424a94	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
45	Healthy human liver: liver sinusoidal endothelial cells	Andrews (2022) Hepatology Communications	bf176af2-4432-4391-9b35-e21bd86ca4f8	ee8a53c6-d0f3-4132-aab6-7a6829c479dc	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
46	Healthy human liver: lymphocytes	Andrews (2022) Hepatology Communications	a49d9109-1d0c-4b36-8139-19aa9a83428c	2935af09-6c44-4a65-998d-685dc3ab7aaa	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
47	Healthy human liver: cholangiocytes	Andrews (2022) Hepatology Communications	9f049476-2431-4645-a2d6-f6e85892b603	9a2510ed-68f6-421b-8304-bdd1ea241ac3	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
48	Healthy human liver: hepatocytes	Andrews (2022) Hepatology Communications	8faa2c07-0080-4627-b1d7-e645a780d752	a2e8d4fc-a121-4b5b-816b-8d778fc104ea	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
49	Healthy human liver: hepatic stellate cells	Andrews (2022) Hepatology Communications	524e045e-e74c-4e00-9884-d5c3bef3d862	aa0e00f1-db61-4d9d-90ae-dc47189c33ae	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
50	Healthy human liver: macrophages	Andrews (2022) Hepatology Communications	3b6ed41e-10a1-47dd-b995-8cde7d041fd6	8f53db93-404c-4a99-a732-5abf8783132b	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
51	Healthy human liver: B cells	Andrews (2022) Hepatology Communications	0895c838-e550-48a3-a777-dbcd35d30272	17616a35-1b3d-4754-9553-8ddb71267d63	https://cellxgene.cziscience.com/collections/44531dd9-1388-4416-a117-af0a99de2294	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present
52	ClassImmune	Braun (2023) Science	ea7b95cf-1967-4431-9ee8-ec85ff793360	d7a55d23-ca07-446a-9c48-267fe490d1fc	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
53	ClassFibroblast	Braun (2023) Science	ea251de5-c764-4f7c-add0-8141b1061faf	a6827613-dd1f-4811-a823-d920b972fc86	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
54	ClassNeuroblast	Braun (2023) Science	e59a4394-80db-42e4-85e6-8f0e59b81f42	9bdeb1c1-37a9-48c9-8334-a6efebb2eed9	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
55	Cerebellum	Braun (2023) Science	e47a4c13-22ba-4c77-99bc-13f7d60af799	0cc4c43c-6e7b-4f91-a240-7bf35c45b97b	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
56	Midbrain	Braun (2023) Science	bfbd9097-65a2-4019-aff3-f875aca51952	2f25319f-12ee-4bd5-a587-08157da300c6	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
57	ClassGlioblastOligo	Braun (2023) Science	b15ec84b-46e9-4678-b511-a0f81f9b545b	a517ac77-a03f-4fbe-9c7c-74487fdf75c6	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
58	ClassPlacodes	Braun (2023) Science	a24ecf77-c059-4dc5-8ca4-3b89d667b7f8	79a6b1ee-309a-4ca6-a8fb-39d2da0e1eb3	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
59	Medulla	Braun (2023) Science	9f984b44-9c72-4aa3-b8c5-65823071c3d6	1c3b3da2-7cb7-4dc9-9a76-659d4cff395d	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
60	ClassOligo	Braun (2023) Science	91b2327d-e3f3-4f63-b446-20774d20fc33	648df3ef-670e-427a-b7b0-305fe05e64c3	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
61	ClassErythrocyte	Braun (2023) Science	8775a6c6-b960-43ae-9f76-45c4acda3621	71613e60-9487-4ff1-bd76-cbb00026ef93	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
62	Diencephalon	Braun (2023) Science	6c105286-54e3-4587-969f-30683390ff8c	c96cbb01-8e50-4026-af47-8049ebde3baa	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
63	Telencephalon	Braun (2023) Science	675873e1-3f1d-4bd5-9fad-3ce8a5ad98e1	3e1ea505-f489-4457-aad9-45f190affa05	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
64	ClassNeuralCrest	Braun (2023) Science	6701d782-76f2-40e6-82f1-495350dd9a63	3f9af1de-2ca5-495d-920a-9ac5c903e637	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
65	ClassRadialGlia	Braun (2023) Science	598100f7-01da-4de4-998a-05917fd6c446	0768590e-3606-40c1-a823-b4fdb89c9f87	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
66	ClassNeuronalIPC	Braun (2023) Science	48c4a72a-bc2a-4d7c-9146-a7c2ab1d7d9f	e8a140cb-6e51-4684-ac67-d60a924c11a6	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
67	ClassNeuron	Braun (2023) Science	1b52ee22-c71a-4a0f-a4d2-c1be36d0b82a	77bd9788-8b48-4041-b4fd-415b8ad6cf65	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
68	All	Braun (2023) Science	13149914-ea03-4f01-8bf6-b793b667127b	58f2940e-49f7-4b5e-87b1-0e191af1fbfd	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
69	ClassGlioblast	Braun (2023) Science	059022cf-885a-4ef8-944b-d9e5381aa1c6	c300fb0b-3978-481c-ac7c-0e82ac2e2f76	https://cellxgene.cziscience.com/collections/4d8fed08-2d6d-4692-b5ea-464f1d072077	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	Not present	100.0%	Not present	Not present	Not present
